anio,county_code,loan_purpose,lien_status,occupancy_type,n_focal,k_focal,n_ref,k_ref,celda
2023,13063,31,1,1,187.0,100.0,28.0,9.0,13063|31|1|1
2023,21111,32,1,1,312.0,129.0,977.0,268.0,21111|32|1|1
2022,36063,1,1,1,153.0,32.0,1710.0,179.0,36063|1|1|1
2022,36059,4,1,1,47.0,25.0,530.0,212.0,36059|4|1|1
2022,48481,1,1,1,40.0,23.0,350.0,99.0,48481|1|1|1
2023,01089,1,2,1,52.0,15.0,101.0,18.0,01089|1|2|1
2023,01125,1,2,1,55.0,11.0,41.0,3.0,01125|1|2|1
2023,26081,2,2,1,150.0,83.0,1813.0,474.0,26081|2|2|1
2023,27053,4,2,1,220.0,123.0,1927.0,704.0,27053|4|2|1
2023,27003,32,1,1,30.0,20.0,458.0,140.0,27003|32|1|1
2023,29077,1,1,1,37.0,6.0,2836.0,230.0,29077|1|1|1
2023,29189,31,2,1,43.0,18.0,439.0,101.0,29189|31|2|1
2023,48021,1,1,1,145.0,62.0,1572.0,457.0,48021|1|1|1
2023,48029,31,1,1,91.0,46.0,953.0,402.0,48029|31|1|1
2024,06029,1,1,1,222.0,48.0,4779.0,577.0,06029|1|1|1
2024,12011,31,2,1,158.0,90.0,753.0,379.0,12011|31|2|1
2024,12031,1,1,3,104.0,27.0,523.0,79.0,12031|1|1|3
2024,12011,32,1,3,213.0,92.0,547.0,153.0,12011|32|1|3
2024,13175,1,1,1,131.0,71.0,248.0,78.0,13175|1|1|1
2024,13097,4,2,1,260.0,147.0,132.0,61.0,13097|4|2|1
2024,17093,1,1,1,157.0,26.0,1293.0,81.0,17093|1|1|1
2023,39113,2,1,1,163.0,88.0,307.0,132.0,39113|2|1|1
2023,42003,4,2,1,185.0,104.0,2578.0,967.0,42003|4|2|1
2023,48401,1,1,1,104.0,68.0,478.0,144.0,48401|1|1|1
2023,51760,4,2,1,95.0,59.0,184.0,66.0,51760|4|2|1
2023,55025,2,2,1,55.0,10.0,1615.0,181.0,55025|2|2|1
2018,01069,1,1,1,170.0,54.0,1208.0,165.0,01069|1|1|1
2018,01117,32,1,1,101.0,50.0,834.0,198.0,01117|32|1|1
2018,01089,4,1,1,44.0,28.0,257.0,70.0,01089|4|1|1
2018,01089,1,1,3,42.0,8.0,305.0,29.0,01089|1|1|3
2018,26163,2,1,1,805.0,648.0,1224.0,550.0,26163|2|1|1
2018,34005,32,1,1,254.0,145.0,1331.0,480.0,34005|32|1|1
2018,12091,32,1,1,72.0,32.0,659.0,221.0,12091|32|1|1
2018,24003,1,1,1,1567.0,224.0,6538.0,471.0,24003|1|1|1
2018,42077,32,1,1,32.0,17.0,802.0,250.0,42077|32|1|1
2018,48029,1,1,3,52.0,9.0,883.0,100.0,48029|1|1|3
2018,48231,1,1,1,48.0,12.0,1207.0,223.0,48231|1|1|1
2018,55079,4,2,1,114.0,75.0,1091.0,369.0,55079|4|2|1
2019,06065,32,1,3,66.0,18.0,906.0,200.0,06065|32|1|3
2019,12111,2,1,1,61.0,45.0,450.0,203.0,12111|2|1|1
2019,13051,32,1,1,304.0,173.0,658.0,188.0,13051|32|1|1
2019,13121,1,1,2,121.0,24.0,212.0,16.0,13121|1|1|2
2019,17031,1,1,3,254.0,67.0,1924.0,183.0,17031|1|1|3
2019,29051,1,1,1,25.0,3.0,950.0,51.0,29051|1|1|1
2019,29047,1,1,1,228.0,26.0,3951.0,228.0,29047|1|1|1
2019,34021,31,1,1,150.0,64.0,1178.0,242.0,34021|31|1|1
2019,48355,1,1,1,124.0,22.0,3411.0,487.0,48355|1|1|1
2019,48351,1,1,1,26.0,23.0,117.0,50.0,48351|1|1|1
2019,51059,32,1,1,388.0,123.0,3194.0,501.0,51059|32|1|1
2019,12035,32,1,1,68.0,20.0,659.0,165.0,12035|32|1|1
2019,39049,1,1,3,100.0,24.0,750.0,69.0,39049|1|1|3
2019,51127,1,1,1,40.0,7.0,366.0,17.0,51127|1|1|1
2020,12105,1,1,1,2007.0,527.0,12463.0,2194.0,12105|1|1|1
2020,12031,31,1,3,108.0,45.0,458.0,113.0,12031|31|1|3
2020,18089,32,1,1,196.0,75.0,2639.0,364.0,18089|32|1|1
2020,22005,31,1,1,467.0,107.0,2643.0,184.0,22005|31|1|1
2020,26125,2,2,1,147.0,75.0,1942.0,585.0,26125|2|2|1
2020,26099,1,1,1,1658.0,394.0,10527.0,1257.0,26099|1|1|1
2020,37071,32,1,1,94.0,26.0,1127.0,196.0,37071|32|1|1
2020,37021,1,1,1,96.0,37.0,3652.0,465.0,37021|1|1|1
2020,48201,2,1,1,274.0,200.0,1426.0,744.0,48201|2|1|1
2019,55079,31,1,3,40.0,20.0,210.0,46.0,55079|31|1|3
2020,08031,2,2,1,62.0,34.0,1383.0,379.0,08031|2|2|1
2020,24031,1,1,1,1779.0,191.0,6727.0,336.0,24031|1|1|1
2020,24033,32,1,3,189.0,78.0,65.0,16.0,24033|32|1|3
2020,37163,1,1,1,171.0,109.0,396.0,90.0,37163|1|1|1
2020,34023,4,2,1,47.0,32.0,419.0,238.0,34023|4|2|1
2020,36059,4,1,1,44.0,28.0,556.0,268.0,36059|4|1|1
2020,36029,4,1,1,35.0,24.0,614.0,221.0,36029|4|1|1
2020,48339,31,1,1,591.0,119.0,10401.0,1449.0,48339|31|1|1
2020,51683,1,1,1,72.0,12.0,436.0,37.0,51683|1|1|1
2021,06001,31,1,1,1565.0,274.0,14203.0,1273.0,06001|31|1|1
2021,12033,32,1,1,271.0,98.0,2014.0,417.0,12033|32|1|1
2021,12127,1,1,1,742.0,142.0,9100.0,1136.0,12127|1|1|1
2021,13077,31,1,1,334.0,67.0,2449.0,318.0,13077|31|1|1
2021,13089,1,1,3,154.0,39.0,280.0,23.0,13089|1|1|3
2021,13015,32,1,1,68.0,18.0,1035.0,156.0,13015|32|1|1
2021,13015,1,1,1,199.0,57.0,1568.0,145.0,13015|1|1|1
2021,13127,32,1,1,54.0,17.0,528.0,91.0,13127|32|1|1
2021,29183,32,1,1,172.0,44.0,4848.0,456.0,29183|32|1|1
