decline_rate,n_declined,loss_avoided,good_volume_foregone,bad_declined,good_declined,precision,loss_capture,loss_avoided_random,lift
0.3,26794,638408682.9499999,6705179900.0,4685,22109,0.1748525789355826,0.49566786226576043,386393025.381,1.652226207552535
0.31,27687,654928885.9399999,6945878800.0,4788,22899,0.1729331455195579,0.5084943383443934,399272792.8937,1.6403043172399785
0.32,28580,674344185.8599999,7165606000.0,4889,23691,0.1710636808957313,0.5235686010598155,412152560.4064,1.6361518783119235
0.33,29473,688052577.11,7401756100.0,4997,24476,0.1695450072948122,0.5342119540834498,425032327.9191,1.6188241032831812
0.34,30366,700130375.18,7651273800.0,5087,25279,0.16752288743989988,0.5435892957614659,437912095.4318,1.5987920463572525
0.35000000000000003,31260,714527014.87,7926389900.0,5178,26082,0.16564299424184262,0.5547670128093896,450791862.9445,1.5850486080268271
0.36000000000000004,32153,725268790.06,8200412000.0,5274,26879,0.16402823997760707,0.56310705091909,463671630.45720005,1.5641862525530275
0.37,33046,736240488.19,8458412700.0,5357,27689,0.16210736549052834,0.5716256038504076,476551397.9699,1.5449340644605611
0.38,33939,746951017.97,8728236900.0,5451,28488,0.16061168567135153,0.5799413826635259,489431165.4826,1.5261615333250684
0.39,34832,759679986.6199999,8973583200.0,5540,29292,0.15904915020670649,0.5898243006878214,502310932.9953,1.5123700017636448
0.4,35725,778036504.31,9202912300.0,5637,30088,0.15778866340097972,0.6040765126721602,515190700.508,1.5101912816804006
0.41000000000000003,36618,794439451.14,9451143300.0,5740,30878,0.15675350920312414,0.616811949716211,528070468.02070004,1.504419389551734
0.42000000000000004,37511,806563225.72,9720431400.0,5817,31694,0.1550745114766335,0.6262249880866982,540950235.5334,1.4910118763969005
0.43,38405,820863362.59,9989245900.0,5913,32492,0.15396432756151543,0.6373277792325007,553830003.0461,1.4821576261220946
0.44,39298,833477003.3199999,10280417300.0,5992,33306,0.1524759529747061,0.6471211553299825,566709770.5588,1.470729898477233
0.45,40191,848518089.8900001,10525123800.0,6082,34109,0.15132741160956434,0.6587992283659818,579589538.0715001,1.4639982852577373
0.46,41084,859670998.48,10802883400.0,6153,34931,0.14976633239217213,0.6674584751877919,592469305.5842,1.4509966851908518
0.47000000000000003,41977,871051230.7499999,11046454500.0,6233,35744,0.1484860757081259,0.6762942187357855,605349073.0969,1.4389238696506077
0.48000000000000004,42870,879416888.9100001,11307868400.0,6304,36566,0.147049218567763,0.6827894121868718,618228840.6096001,1.4224779420559828
0.49,43763,890846283.6700001,11605590600.0,6385,37378,0.14589950414733907,0.691663326058943,631108608.1223,1.411557808283557
0.5,44656,902877741.02,11865195100.0,6467,38189,0.14481816553206736,0.7010046882676446,643988375.635,1.4020093765352892
